Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2000-01-03,0.08942519873380661,0.09097757574708387,0.08429126876904536,0.0902614482466998,300912000
2000-01-04,0.08703749626874924,0.08811214526608273,0.0826196937140321,0.08787283034916066,300480000
2000-01-05,0.0841720774769783,0.0859628541322651,0.08297822181897786,0.0845305989878978,188352000
2000-01-06,0.0786796361207962,0.08417208885356159,0.07545659705380674,0.08417208885356159,120480000
2000-01-07,0.07999361306428909,0.08082894055432545,0.07712817989501532,0.0783220358026543,71184000
2000-01-10,0.08261969685554504,0.08596285054004803,0.07879973738651924,0.08023199247103545,239856000
2000-01-11,0.07927654683589935,0.08309742876289049,0.07927654683589935,0.08214197941872785,148128000
2000-01-12,0.07724735140800476,0.07939665606918955,0.07617270249326875,0.07927653406345664,123552000
2000-01-13,0.08047039061784744,0.08118743353700016,0.07617270351883955,0.0771281527219313,132192000
2000-01-14,0.0839327722787857,0.08727592676297952,0.08142586755641598,0.08166518937139765,604560000
2000-01-18,0.08751524239778519,0.08787284850439243,0.08118745545795186,0.08500741557096261,261648000
2000-01-19,0.08667898178100586,0.08787283744006073,0.08596285420818969,0.08787283744006073,164688000
2000-01-20,0.0864405706524849,0.09217142864713053,0.08572444311951968,0.08739601994007982,179568000
2000-01-21,0.08548515290021896,0.08655980223502302,0.0833358473988954,0.08620128064013174,544272000
2000-01-24,0.08166516572237015,0.08823135074102097,0.08118743768058591,0.08823135074102097,256944000
2000-01-25,0.08094815164804459,0.08285905099481587,0.07832204676084165,0.08202280110621614,237120000
2000-01-26,0.07760494947433472,0.0830974068740757,0.07617269470087953,0.08094810243276257,232464000
2000-01-27,0.07354569435119629,0.07820189670334937,0.0706802618066462,0.07820189670334937,458208000
2000-01-28,0.0713973119854927,0.07306888905040097,0.06853188598516381,0.0725911677526278,194448000
2000-01-31,0.07080039381980896,0.07330729837863825,0.06686031164580791,0.07175492100452743,182400000
2000-02-01,0.07247104495763779,0.0730688882846793,0.06829256347988207,0.07091958994452134,92976000
2000-02-02,0.0745011493563652,0.07593432700988856,0.07247105061068183,0.07282957217858416,149040000
2000-02-03,0.0756949856877327,0.0784412114113625,0.07521725764915888,0.07688883439595852,108240000
2000-02-04,0.07748574018478394,0.07808266778541709,0.07593428589077429,0.07808266778541709,123696000
2000-02-07,0.07271037250757217,0.07784430380947774,0.07259117274529396,0.07784430380947774,217488000
