Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2004-08-19,2.484365463256836,2.5764698175533733,2.375919050513268,2.47594640334247,897427216
2004-08-20,2.6816985607147217,2.7007631515270396,2.488327040389078,2.500953972188937,458857488
2004-08-23,2.708686351776123,2.809704894801386,2.700020800407022,2.742111603240293,366857939
2004-08-24,2.5965256690979004,2.7631563190761623,2.564338086520178,2.7542433305673386,306396159
2004-08-25,2.6245033740997314,2.6740230033000816,2.572013301877542,2.598753451327233,184645512
2004-08-26,2.6717946529388428,2.6727848797973417,2.5913260406626035,2.5985062519307283,142572401
2004-08-27,2.6282174587249756,2.6893737952512593,2.6168281922535006,2.676498477654464,124826132
2004-08-30,2.5257136821746826,2.611876683558067,2.5257136821746826,2.606676452461377,104429967
2004-08-31,2.5346269607543945,2.5678045353841132,2.529427677588803,2.532894182378881,98825037
2004-09-01,2.4821367263793945,2.5494823351983573,2.467776068748134,2.542797238250835,183633734
2004-09-02,2.513333559036255,2.5346269903908083,2.4497016512068672,2.455891872262924,303810504
2004-09-03,2.476194143295288,2.5190286814604987,2.4591107163056503,2.499468976426108,103538639
2004-09-07,2.515066623687744,2.52546589941346,2.466290733209245,2.500953642573186,117506800
2004-09-08,2.5328941345214844,2.5509687356975568,2.4883270565845637,2.494268654214846,100186120
2004-09-09,2.5331413745880127,2.543044589553373,2.500706354694645,2.538588095417013,81620792
2004-09-10,2.607914924621582,2.6383690177906622,2.508134058970616,2.5155619443800856,174804764
2004-09-13,2.661642551422119,2.6841736448736984,2.635892628758999,2.6401016846435255,157628624
2004-09-14,2.7604336738586426,2.773060605649064,2.6440633054468607,2.660405128161583,217608605
2004-09-15,2.7730605602264404,2.8282743522099554,2.728493483342906,2.7374074201410687,215279909
2004-09-16,2.8218367099761963,2.8671463424881227,2.7643952581633893,2.781478685662328,186207345
2004-09-17,2.9089903831481934,2.9089903831481934,2.811437406306183,2.8329782746106806,190350817
2004-09-20,2.9552903175354004,3.010751548991273,2.8911635353005254,2.8956200297838026,213585582
2004-09-21,2.9176557064056396,2.981535043761129,2.9094852698674134,2.966431835512299,145262446
2004-09-22,2.931025266647339,2.962965410196633,2.89215329924145,2.9067616315567317,152344894
2004-09-23,2.9914395809173584,3.0362540979399864,2.8973528672490714,2.9424160075131156,171524515
2004-09-24,2.9669272899627686,3.0726497598598432,2.965194511602928,2.9944097567546373,183336625
2004-09-27,2.92805552482605,2.9929248638532324,2.91666625698944,2.960242163607735,141994242
2004-09-28,3.140986442565918,3.1543559257072684,2.9763362413687715,3.0033238308820787,340190355
2004-09-29,3.245471715927124,3.3430237521598127,3.1253883459210403,3.137025288612251,613229953
2004-09-30,3.208827257156372,3.2756779928957096,3.1939714854343504,3.2162551430173827,276468402
2004-10-01,3.2826106548309326,3.3237112268615765,3.1914950999975775,3.238538454536432,303934969
2004-10-04,3.3440139293670654,3.388828687205982,3.3185116766991114,3.3487190475823465,261693228
2004-10-05,3.4259679317474365,3.4299293133192776,3.2741930267165538,3.3341109968262823,300887589
2004-10-06,3.3940281867980957,3.427948547996708,3.367288272942747,3.4056651284440846,268900140
2004-10-07,3.437852144241333,3.4633546330249394,3.380905568628412,3.3900671814752283,283643194
2004-10-08,3.4101216793060303,3.4584026989821943,3.392542191942092,3.4346339389409404,222442656
2004-10-11,3.348966121673584,3.4381005142230996,3.314054821419778,3.392047148264627,210437827
2004-10-12,3.401951313018799,3.4071503590584555,3.302912993707751,3.3286629188070624,234419380
2004-10-13,3.4886090755462646,3.5542221436077517,3.468306820391979,3.548526799323868,397203256
2004-10-14,3.5158445835113525,3.525253634848607,3.430672985246801,3.4913332688624314,209835578
2004-10-15,3.568086862564087,3.602503286502034,3.5146065587585764,3.5883900664551165,265150137
2004-10-18,3.693122386932373,3.694112376648186,3.496284369474603,3.545555614878301,282061287
2004-10-19,3.6629161834716797,3.7733437715605844,3.648308086820195,3.7263004150251224,363918964
2004-10-20,3.478457450866699,3.688913337790983,3.456421469540016,3.665143630157178,456613107
2004-10-21,3.6985690593719482,3.7171385358444513,3.506435924937343,3.5752668728790584,585767401
2004-10-22,4.269276142120361,4.4609141925331555,4.062533932397497,4.222480456981978,1481207196
2004-10-25,4.6399245262146,4.81398402359059,4.272246063598529,4.367570443031253,1315480331
2004-10-26,4.501271724700928,4.769664415169078,4.45670441040575,4.613679763174975,895628499
2004-10-27,4.604518890380859,4.692414432512292,4.500528963740304,4.524050285971835,536262538
2004-10-28,4.78600549697876,4.812992850889049,4.595357686067778,4.622097601783326,596097978
2004-10-29,4.7201457023620605,4.950655711880344,4.719155001543013,4.924410672527124,849672890
2004-11-01,4.853598117828369,4.894203573231341,4.735743606307157,4.792195058402547,490828877
2004-11-02,4.824878215789795,4.933324399385318,4.786996472594499,4.921687694423842,455553149
2004-11-03,4.745646953582764,4.9915085323950725,4.722868421579527,4.906831588895464,557630330
2004-11-04,4.573073863983154,4.714203219616208,4.539648852032323,4.66567452391762,578544429
2004-11-05,4.1930155754089355,4.513650880050043,4.17320867168309,4.505728118559705,796297573
2004-11-08,4.27224588394165,4.343801973094828,4.194253557881547,4.232136723102093,449349985
2004-11-09,4.176922798156738,4.33785905297642,4.091997465435572,4.310623788872672,444226854
2004-11-10,4.156124591827393,4.271503790657838,4.118242846703057,4.225698809013241,427355853
2004-11-11,4.531477928161621,4.5495522912030895,4.14894372808746,4.1875692059902665,601666773
2004-11-12,4.506223678588867,4.699347773994748,4.39233052824385,4.586197412278365,672354740
